Date(UTC),Market,Type,Price,Amount,Total,Fee
2022-01-21 13:10:00,FTMBUSD,SELL,2.48,60,148.8,0.14800000BUSD
2022-01-21 13:10:00,FTMBUSD,SELL,2.48,116,287.68,0.28768000BUSD
2022-01-21 13:10:00,FTMBUSD,SELL,2.48,10,24.8,0.02480000BUSD
2022-01-21 13:10:00,FTMBUSD,SELL,2.48,8,19.84,0.01984000BUSD
2022-01-21 13:10:00,FTMBUSD,SELL,2.48,604,1497.92,1.49792000BUSD
2022-01-21 13:10:00,FTMBUSD,SELL,2.48,256,634.88,0.63488000BUSD
2022-01-21 13:10:00,FTMBUSD,SELL,2.48,27,66.96,0.06696000BUSD
2022-01-20 23:00:48,ONEBUSD,SELL,0.2645,8865.2,2344.8454,0.0000000000ONE
2022-01-20 22:56:37,FTMBUSD,BUY,2.775,119,330.225,0.0000000000FTM
2022-01-20 22:56:37,FTMBUSD,BUY,2.775,962,2669.55,0.0000000000FTM
2022-01-20 22:18:50,ONEBUSD,BUY,0.282,8865.2,2499.9864,0.0000000000ONE
2022-01-20 16:28:06,FTMBUSD,SELL,3.0008,140,420.112,0.42011200BUSD
2022-01-20 16:28:06,FTMBUSD,SELL,3.0009,170,510.153,0.51015300BUSD
2022-01-20 16:28:06,FTMBUSD,SELL,3.0008,203,609.1624,0.60916240BUSD
2022-01-20 16:28:06,FTMBUSD,SELL,3.0008,256,768.2048,0.76820480BUSD
2022-01-20 16:28:06,FTMBUSD,SELL,3.001,140,420.14,0.42014000BUSD
2022-01-20 16:28:06,FTMBUSD,SELL,3.001,169,507.169,0.50716900BUSD
2022-01-20 00:24:37,FTMBUSD,BUY,2.78,412,1145.36,0.0000000000FTM
2022-01-20 00:24:32,FTMBUSD,BUY,2.78,160,444.8,0.0000000000FTM
2022-01-20 00:24:30,FTMBUSD,BUY,2.78,331,920.18,0.0000000000FTM
2022-01-20 00:24:30,FTMBUSD,BUY,2.78,175,486.5,0.0000000000FTM
2022-01-17 14:50:16,ONEBUSD,SELL,0.329,7756.9,2552.0201,0.0000000000ONE
2022-01-16 01:02:13,ONEBUSD,BUY,34.6,1818.2,609.387912,0.0000000000ONE
2022-01-16 01:02:13,ONEBUSD,BUY,34.6,5938.7,1990.414692,0.0000000000ONE
2022-01-13 00:46:30,ATOMBUSD,SELL,40.05,37.57,1504.6785,0.0000000000ATOM
2022-01-12 07:49:03,LUNABUSD,SELL,74.4,8.12,604.128,0.0000000000LUNA
2022-01-12 07:18:51,ATOMBUSD,SELL,41.2,8.15,335.78,0.0000000000ATOM
2022-01-12 07:18:50,ATOMBUSD,SELL,41.2,6.27,258.324,0.0000000000ATOM
2022-01-12 07:18:50,ATOMBUSD,SELL,41.2,6.66,274.392,0.0000000000ATOM
2022-01-12 07:18:50,ATOMBUSD,SELL,41.2,16.49,679.388,0.0000000000ATOM
2022-01-10 13:50:32,ATOMBUSD,BUY,34.6,50.21,1737.266,0.0000000000ATOM
2022-01-10 13:50:32,ATOMBUSD,BUY,34.6,24.93,862.578,0.0000000000ATOM
2022-01-08 18:06:54,LUNABUSD,BUY,63,1.58,99.54,0.0000000000LUNA
2022-01-07 22:45:56,HBARBUSD,SELL,0.268,2228,597.104,0.5971040000BUSD
2022-01-07 22:45:56,HBARBUSD,SELL,0.268,634,169.912,0.0000000000BUSD
2022-01-07 16:18:38,HBARBUSD,BUY,0.272,1102,299.744,0.0000000000HBAR
2022-01-07 15:52:53,LUNABUSD,BUY,68.1,1.46,99.426,0.0000000000LUNA
2022-01-07 13:41:04,HBARBUSD,BUY,0.274,364,99.736,0.0000000000HBAR
2022-01-05 22:23:21,HBARBUSD,BUY,0.28,714,199.92,0.0000000000HBAR
2022-01-05 22:15:02,LUNABUSD,BUY,77,2.59,199.43,0.0000000000LUNA
2022-01-05 21:31:24,HBARBUSD,BUY,0.293,682,199.826,0.0000000000HBAR
2022-01-05 20:03:43,LUNABUSD,BUY,79.68,2.5,199.2,0.0025
