Date(UTC),Market,Type,Price,Amount,Total,Fee,Fee Coin
2022-01-20 23:01:33,PYRBUSD,BUY,11.35,4.405,49.99675,0,PYR
2022-01-20 22:40:35,LINKBUSD,BUY,21.45,4.66,99.9957,0,LINK
2022-01-20 13:03:55,PYRBUSD,BUY,11.35,8.81,99.9935,0,PYR
2022-01-17 22:12:00,LINKBUSD,BUY,23.61,10.58,249.7938,0,LINK
2022-01-14 09:36:01,PYRBUSD,BUY,15,6.666,99.99,0,PYR
2022-01-10 14:07:32,DOTBUSD,BUY,23.4,4.88,114.192,0,DOT
2022-01-10 14:07:32,DOTBUSD,BUY,23.4,5.8,135.72,0,DOT
2022-01-08 17:32:55,DOTBUSD,BUY,24.1,1.55,37.355,0,DOT
2022-01-08 17:32:55,DOTBUSD,BUY,24.1,8.82,212.562,0,DOT
2022-01-08 15:12:52,MANABUSD,BUY,3,83,249,0,MANA
2021-12-29 13:28:31,ETHBUSD,BUY,3700,0.0675,249.75,0,ETH
2021-12-14 06:29:50,ETHBUSD,BUY,3700,0.0068,25.16,0,ETH
2021-12-14 06:29:50,ETHBUSD,BUY,3700,0.0607,224.59,0,ETH
2021-12-13 15:26:00,ETHBUSD,BUY,3850,0.0649,249.865,0,ETH
2021-12-10 16:16:33,ETHBUSD,BUY,3970,0.0629,249.713,0,ETH
2021-12-09 21:24:13,BTCBUSD,BUY,47800,0.00523,249.994,0,BTC
2021-12-08 14:01:41,BTCBUSD,BUY,49000,0.0051,249.9,0,BTC
2021-12-04 04:43:42,BTCBUSD,BUY,52000,0.0048,249.6,0,BTC
2021-12-03 16:56:18,BTCBUSD,BUY,55000,0.00454,249.7,0,BTC
2021-11-30 16:56:14,BTCBUSD,BUY,56700,0.00881,499.527,0,BTC
2021-10-17 20:21:51,ETHBUSD,SELL,3650,0.3178,1159.97,1.15997,BUSD
2021-09-20 12:10:24,ETHBUSD,BUY,3040,0.1644,499.776,0,ETH
2021-09-13 14:19:39,BNBBUSD,BUY,385,0.051,19.635,0,BNB
2021-09-13 14:19:39,BNBBUSD,BUY,385,0.932,358.82,0,BNB
2021-09-13 14:19:39,BNBBUSD,BUY,385,0.017,6.545,0,BNB
2021-09-10 14:29:46,ETHBUSD,BUY,3250,0.1538,499.85,0,ETH
2021-09-07 15:46:04,BNBBUSD,BUY,420,1,420,0,BNB
2021-06-07 23:01:58,BNBBUSD,BUY,373.35,1,373.35,0.001,BNB
